quote
"Believe you can and you're halfway there."
"The only way to do great work is to love what you do."
"Success is not final, failure is not fatal: It is the courage to continue that counts."
"Don't let yesterday take up too much of today."
"Dream big and dare to fail."
"Failure will never overtake me if my determination to succeed is strong enough."
"Your limitation—it's only your imagination."
"Push yourself, because no one else is going to do it for you."
"We are all in the gutter, but some of us are looking at the stars"
"What seems to us as bitter trials are often blessings in disguise"
"A dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world"
"To live is the rarest thing in the world. Most people exist, that is all"
"The heart was made to be broken"
"Experience is simply the name we give our mistakes"
"No man is rich enough to buy back his past"
"The mystery of love is greater than the mystery of death"
"The good ended happily, and the bad unhappily. That is what fiction means"

